StationCode,isSWMP,DateTimeStamp,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,pH,F_pH,Turb,F_Turb
niwcbwq   ,P,5/8/2023 13:00,,24.5,<0> ,48.28,<0> ,31.5,<0> ,79.7,<0> ,5.6,<0> ,1.16,<0> ,1.14,<3> ,7.5,<0> ,15,<0> 
niwcbwq   ,P,5/8/2023 13:15,,24.8,<0> ,48.08,<0> ,31.3,<0> ,81.5,<0> ,5.7,<0> ,1.08,<0> ,1.06,<3> ,7.5,<0> ,15,<0> 
niwcbwq   ,P,5/8/2023 13:30,,25,<0> ,47.89,<0> ,31.2,<0> ,83.4,<0> ,5.8,<0> ,1,<0> ,0.99,<3> ,7.5,<0> ,16,<0> 
niwcbwq   ,P,5/8/2023 13:45,,25.3,<0> ,47.77,<0> ,31.1,<0> ,84.7,<0> ,5.8,<0> ,0.92,<0> ,0.91,<3> ,7.5,<0> ,16,<0> 
niwcbwq   ,P,5/8/2023 14:00,,25.4,<0> ,47.66,<0> ,31,<0> ,85.9,<0> ,5.9,<0> ,0.84,<0> ,0.83,<3> ,7.5,<0> ,16,<0> 
niwcbwq   ,P,5/8/2023 14:15,,25.6,<0> ,47.55,<0> ,30.9,<0> ,86.9,<0> ,6,<0> ,0.77,<0> ,0.76,<3> ,7.5,<0> ,17,<0> 
niwcbwq   ,P,5/8/2023 14:30,,25.8,<0> ,47.41,<0> ,30.8,<0> ,87.3,<0> ,6,<0> ,0.69,<0> ,0.69,<3> ,7.5,<0> ,19,<0> 
niwcbwq   ,P,5/8/2023 14:45,,25.8,<0> ,47.28,<0> ,30.7,<0> ,87.3,<0> ,6,<0> ,0.63,<0> ,0.63,<3> ,7.5,<0> ,40,<0> 
niwcbwq   ,P,5/8/2023 15:00,,25.9,<0> ,46.91,<0> ,30.5,<0> ,88.3,<0> ,6,<0> ,0.56,<0> ,0.56,<3> ,7.5,<0> ,22,<0> 
niwcbwq   ,P,5/8/2023 15:15,,25.9,<0> ,46.37,<0> ,30.1,<0> ,86.6,<0> ,5.9,<0> ,0.52,<0> ,0.51,<3> ,7.5,<0> ,23,<0> 
niwcbwq   ,P,5/8/2023 15:30,,25.8,<0> ,45.99,<0> ,29.8,<0> ,84.8,<0> ,5.8,<0> ,0.5,<0> ,0.49,<3> ,7.5,<0> ,41,<0> 
niwcbwq   ,P,5/8/2023 15:45,,25.7,<0> ,44.9,<0> ,29,<0> ,86.1,<0> ,6,<0> ,0.46,<0> ,0.45,<3> ,7.5,<0> ,20,<0> 
niwcbwq   ,P,5/8/2023 16:00,,25.6,<0> ,43.97,<0> ,28.3,<0> ,84.6,<0> ,5.9,<0> ,0.45,<0> ,0.44,<3> ,7.5,<0> ,36,<0> 
niwcbwq   ,P,5/8/2023 16:15,,25.3,<0> ,43.13,<0> ,27.8,<0> ,83.7,<0> ,5.9,<0> ,0.44,<0> ,0.43,<3> ,7.5,<0> ,40,<0> 
niwcbwq   ,P,5/8/2023 16:30,,25.7,<0> ,44.44,<0> ,28.7,<0> ,83.1,<0> ,5.8,<0> ,0.47,<0> ,0.46,<3> ,7.5,<0> ,32,<0> 
niwcbwq   ,P,5/8/2023 16:45,,25.3,<0> ,43.28,<0> ,27.9,<0> ,77.9,<0> ,5.5,<0> ,0.53,<0> ,0.52,<3> ,7.5,<0> ,27,<0> 
niwcbwq   ,P,5/8/2023 17:00,,25.3,<0> ,43.59,<0> ,28.1,<0> ,80.8,<0> ,5.7,<0> ,0.6,<0> ,0.58,<3> ,7.5,<0> ,18,<0> 
niwcbwq   ,P,5/8/2023 17:15,,25.5,<0> ,45.68,<0> ,29.6,<0> ,75.7,<0> ,5.2,<0> ,0.67,<0> ,0.65,<3> ,7.4,<0> ,29,<0> 
niwcbwq   ,P,5/8/2023 17:30,,24.9,<0> ,43.05,<0> ,27.7,<0> ,82.5,<0> ,5.8,<0> ,0.74,<0> ,0.72,<3> ,7.5,<0> ,19,<0> 
niwcbwq   ,P,5/8/2023 17:45,,24.8,<0> ,42.39,<0> ,27.2,<0> ,80.9,<0> ,5.8,<0> ,0.82,<0> ,0.81,<3> ,7.5,<0> ,23,<0> 
niwcbwq   ,P,5/8/2023 18:00,,24.8,<0> ,41.78,<0> ,26.8,<0> ,80.7,<0> ,5.8,<0> ,0.91,<0> ,0.9,<3> ,7.5,<0> ,17,<0> 
